subject_id,race,sex,age,has_injury,role,role_number,resistance
404,Other / Mixed Race,Male,49,No,S,1,verbal non-compliance
405,Native American,Male,23,No,A,1,tensed
406,Black,Male,46,Yes,A,1,tensed
407,Black,Male,20,No,A,1,fled on foot
408,Black,Male,23,No,A,1,verbal non-compliance
409,Black,Male,18,Yes,A,2,commission of crime
410,Black,Male,20,No,A,1,verbal non-compliance
411,Black,Male,42,Yes,V,1,tensed
412,Black,Male,22,Yes,A,1,unspecified
413,Other / Mixed Race,Male,29,Yes,A,1,verbal non-compliance
414,Black,Male,18,No,A,1,commission of crime
415,Black,Male,18,Yes,A,1,fled in vehicle
416,White,Male,29,No,OT,1,verbal non-compliance
417,White,Male,35,Yes,A,1,fled on foot
418,Other / Mixed Race,Male,45,Yes,A,1,tensed
419,Black,Male,30,No,A,1,fled on foot
420,Black,Male,36,No,A,1,tensed
421,Black,Male,38,No,A,1,fled on foot
422,Black,Male,36,Yes,A,1,fled on foot
423,Null,Male,15,Yes,A,1,fled in vehicle
424,Black,Male,36,No,A,2,fled on foot
425,Black,Male,26,Yes,A,1,fled on foot
426,White,Male,33,No,A,1,tensed
427,Other / Mixed Race,Male,15,No,A,1,fled on foot
428,Black,Male,23,No,A,1,fled in vehicle
429,Black,Male,50,Yes,A,1,assaulted officer
430,Black,Male,27,No,A,1,verbal non-compliance
431,White,Male,26,Yes,A,1,fled in vehicle
432,White,Male,31,No,A,1,fled on foot
433,Black,Male,20,Yes,A,1,fled on foot
434,Black,Male,18,,S,1,commission of crime
435,Black,Male,35,Yes,A,2,unspecified
436,White,Male,17,No,A,1,tensed
437,White,Female,21,No,A,1,unspecified
438,Black,Male,18,,A,1,assaulted officer
439,White,Male,27,No,A,1,commission of crime
440,Black,Male,43,No,A,1,fled in vehicle
441,Black,Male,23,No,A,1,fled in vehicle
442,Black,Male,44,No,A,1,verbal non-compliance
443,Black,Male,46,Yes,A,1,tensed
444,White,Male,42,No,A,1,unspecified
445,White,Male,35,Yes,A,1,fled on foot
446,White,Male,46,No,OT,1,tensed
447,Black,Male,28,No,A,2,commission of crime
448,Native American,Male,44,No,A,1,tensed
449,Black,Male,28,No,A,1,tensed
450,Black,Male,19,Yes,A,1,fled on foot
451,Black,Male,23,No,A,1,fled in vehicle
452,Black,Male,40,No,A,1,commission of crime
453,Black,Male,24,Yes,A,1,fled in vehicle
454,Black,Male,53,,A,1,verbal non-compliance
455,Asian,Male,22,Yes,A,2,fled on foot
456,Black,Male,36,No,A,1,tensed
457,Black,Male,21,No,A,1,fled on foot
458,Native American,Male,41,No,A,1,unspecified
459,White,Male,19,No,A,1,fled on foot
460,White,Male,22,No,A,1,commission of crime
461,Black,Female,17,No,A,1,commission of crime
462,Black,Male,21,No,A,1,fled in vehicle
463,Black,Male,19,Yes,A,1,fled on foot
464,Black,Male,26,No,A,2,commission of crime
465,White,Male,33,No,A,1,tensed
466,White,Male,39,,S,1,commission of crime
467,White,Male,21,,A,1,fled on foot
468,Black,Male,32,No,A,1,fled in vehicle
